# sample_name,input_path,species,percentile
ace-let-law,,,80
ace-dud-was,,macaque,80
ace-met-war,,,50
ace-den-hen,,,40
ace-dim-nut,,,35
ace-dud-vex,,macaque,80
ace-dud-vow,,macaque,80
ace-dud-wag,,macaque,80
ace-let-lax,,,80
ace-let-lay,,,80
