ace-can-ill	TFAP2C
ace-can-ill	HGF
ace-can-ill	NAMPT
ace-can-ill	VIM
ace-can-ill	CD38
ace-can-ill	CRYAB
ace-can-ill	CDH9
ace-can-ill	HES1
ace-can-ill	IGFBP5
ace-can-ill	DLX2
ace-can-ill	TTR
ace-can-ill	PDGFRA
ace-can-ill	BRIP1
ace-can-ill	KIF11
ace-can-ill	TRHDE
ace-can-ill	PROX1
ace-can-ill	CUX2
ace-can-ill	THSD4
ace-can-ill	MOB3B
ace-can-ill	FBN2
ace-can-ill	CDH20
ace-can-ill	PALMD
ace-can-ill	CD44
ace-can-ill	DGKD
ace-can-ill	SEMA3C
ace-can-ill	RUNX1T1
ace-can-ill	SLCO1C1
ace-can-ill	BEST3
ace-can-ill	ASCL1
ace-can-ill	SRRM4
ace-can-ill	NXPH2
ace-can-ill	HES6
ace-can-ill	GLRA3
ace-can-ill	DAAM2
ace-can-ill	EGFR
ace-can-ill	ST18
ace-can-ill	CRH
ace-can-ill	SLC1A2
ace-can-ill	ZNF385D
ace-can-ill	GADL1
ace-can-ill	GJA1
ace-can-ill	TCTEX1D1
ace-can-ill	STK32B
ace-can-ill	FEZF2
ace-can-ill	SST
ace-can-ill	SLC6A1
ace-can-ill	KIT
ace-can-ill	PREX2
ace-can-ill	C21orf58
ace-can-ill	NEUROD1
ace-can-ill	IGFBP7
ace-can-ill	EOMES
ace-can-ill	PRSS12
ace-can-ill	ITGA2
ace-can-ill	ENPP6
ace-can-ill	BMPER
ace-can-ill	COL1A2
ace-can-ill	PDZRN4
ace-can-ill	PPP1R16B
ace-can-ill	CALB2
ace-can-ill	FOS
ace-can-ill	KCNS3
ace-can-ill	RETREG1
ace-can-ill	NWD2
ace-can-ill	CPED1
ace-can-ill	UGT8
ace-can-ill	DPY19L1
ace-can-ill	CARHSP1
ace-can-ill	FGFBP3
ace-can-ill	EBF1
ace-can-ill	METAP1D
ace-can-ill	SLC9A9
ace-can-ill	TAC1
ace-can-ill	NHLH2
ace-can-ill	TSHZ1
ace-can-ill	KCNH5
ace-can-ill	GLIS3
ace-can-ill	RIT2
ace-can-ill	ATP10B
ace-can-ill	EYA2
ace-can-ill	ADAMTSL1
ace-can-ill	POU3F2
ace-can-ill	PCP4
ace-can-ill	SV2B
ace-can-ill	HS3ST4
ace-can-ill	CPNE8
ace-can-ill	ZNF804B
